group,metric,n,mean,sd,median
ai,sbert_jap_en,335,0.7098509482483366,0.16103189152524186,0.7258996963500977
fansub,sbert_jap_en,335,0.6243714538527958,0.16466640630382842,0.6378493309020996
official,sbert_jap_en,335,0.6408483283066038,0.17464221232077246,0.6570580005645752
ai,sbert_jap_sp,335,0.7694207650512012,0.14477453986130973,0.8019508123397827
fansub,sbert_jap_sp,335,0.6702950980681092,0.1698041600826217,0.7020761966705322
official,sbert_jap_sp,335,0.6467579031835741,0.18362148253240998,0.6811825633049011
ai,comet_jap_en,335,-0.07356193638337193,0.3628735759573055,-0.0742097645998001
fansub,comet_jap_en,335,-0.16551711751676318,0.345958516855763,-0.1764121800661087
official,comet_jap_en,335,-0.19592990628374157,0.3524404039860978,-0.2321793138980865
ai,comet_jap_sp,335,-0.053909838944673535,0.3988645094799513,-0.0292276255786418
fansub,comet_jap_sp,335,-0.17103790078145353,0.3891033408449847,-0.1886500716209411
official,comet_jap_sp,335,-0.2022780173416458,0.39482786662543706,-0.2191733866930008
ai,comet_jap_en_norm,335,0.5892918162050113,0.1933521310811352,0.5889466299624186
fansub,comet_jap_en_norm,335,0.55364706133876,0.20090748175818987,0.5473200034004825
official,comet_jap_en_norm,335,0.5749848056503741,0.18839758468758364,0.555607626519778
ai,sbert_jap_en_norm,335,0.6416254302934737,0.21257786236888168,0.6628113490133956
fansub,sbert_jap_en_norm,335,0.5906342972025841,0.18884378367203875,0.6060910825602535
official,sbert_jap_en_norm,335,0.6446370162563501,0.18227700480557732,0.6615553229406249
ai,qe_mix_en,335,0.6102252618403963,0.17051948667024788,0.6278677354946871
fansub,qe_mix_en,335,0.5684419556842897,0.1685453671046276,0.5762830313709817
official,qe_mix_en,335,0.6028456898927644,0.16056689521364184,0.608585593346679
ai,comet_jap_sp_norm,335,0.5792290653458751,0.1926678147058894,0.5911515803812141
fansub,comet_jap_sp_norm,335,0.611425918811948,0.17573565884645898,0.6034715115342504
official,comet_jap_sp_norm,335,0.5051335527998572,0.20344199967297955,0.4964279167072709
ai,sbert_jap_sp_norm,335,0.6818073274218681,0.21495179820590762,0.7301058208386135
fansub,sbert_jap_sp_norm,335,0.6374857964282129,0.19441177399941553,0.6738725360460236
official,sbert_jap_sp_norm,335,0.6280311566976366,0.19897122818579654,0.6653335290004531
ai,qe_mix_sp,335,0.6202603701762723,0.16573284617276493,0.6189520529361104
fansub,qe_mix_sp,335,0.621849869858454,0.15345341613587102,0.6252050898958544
official,qe_mix_sp,335,0.554292594358969,0.17167862332002667,0.5614722661724145
