time_stamp,group,sub_jap,sub_trad_en,sub_trad_sp,cosn_jap_en,cosn_jap_sp,punc_jaccard_en,punc_jaccard_sp,digits_match_en,digits_match_sp,len_ratio_en,len_ratio_sp,sbert_jap_en,sbert_jap_sp,comet_jap_en,comet_jap_sp,comet_jap_en_norm,sbert_jap_en_norm,qe_mix_en,comet_jap_sp_norm,sbert_jap_sp_norm,qe_mix_sp,flags_en,flags_sp,flags_all
0:00:48.77,ai,それでは,"Well then,","Bien,",0.0,0.0,0.0,0.0,1,1,2.0,1.0,0.891360342502594,0.9077980518341064,0.06643904000520706,-0.1396825611591339,0.6638893866309064,0.8812356010800004,0.7508278724105439,0.537797344654601,0.8872609013260537,0.6775827673231821,length_ratio_extreme;low_punc_jaccard,low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:low_punc_jaccard
0:00:50.51,ai,ホームルームを始めます,Let's begin homeroom.,empezaremos la clase.,0.0,0.0,0.0,0.0,1,1,3.0,3.0,0.9257076382637024,0.5300703048706055,0.06263304501771927,-0.08626848459243774,0.6618614152092521,0.9265773941986862,0.7677478068050259,0.5635985206480638,0.32643536860564826,0.4687332598310976,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:00:52.75,ai,日直の人は号令を,"Class monitor, give the command.","El encargado, por favor, dé la orden.",0.0,0.0,0.0,0.0,1,1,5.0,7.0,0.22380712628364563,0.6099978685379028,-0.5759018063545227,-0.2583679258823395,0.3216270127546489,0.0,0.19297620765278933,0.48046747620226427,0.4451066042591083,0.4663231274250019,low_qe_mix;length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:low_qe_mix;EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:00:54.90,ai,き…起立,St… stand.,¡Se… levanten!,0.0,0.0,0.5,0.3333333333333333,1,1,2.0,2.0,0.5819593667984009,0.8845288753509521,-0.9239699244499207,0.1433040350675583,0.1361637636944206,0.47279602177012253,0.2708166669247014,0.6744914043921852,0.8527123451184762,0.7457797806827016,length_ratio_extreme,length_ratio_extreme,EN:length_ratio_extreme;SP:length_ratio_extreme
0:01:00.08,ai,気を付け,Attention.,¡Atención!,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0.7549595832824707,0.8109492063522339,0.14047768712043762,0.2020467072725296,0.70333984858402,0.701173244823313,0.7024732070797373,0.7028665092579268,0.7434660496177523,0.719106325401857,low_punc_jaccard,low_punc_jaccard,EN:low_punc_jaccard;SP:low_punc_jaccard
0:01:04.97,ai,礼,Bow.,¡Saludad!,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0.5262379050254822,0.877743124961853,-0.38592013716697693,-0.3938426077365875,0.42285609923981404,0.39923823691419735,0.41340895430956737,0.4150276832889628,0.8426373053379277,0.5860715321085488,low_punc_jaccard,low_punc_jaccard,EN:low_punc_jaccard;SP:low_punc_jaccard
0:01:09.72,ai,おはようございます,Good morning.,Buenos días.,0.0,0.0,0.0,0.0,1,1,2.0,2.0,0.981326699256897,0.4819415807723999,0.2976534068584442,0.2692902684211731,0.7870887418049759,1.0,0.8722532450829855,0.7353478899564575,0.25497697681814285,0.5431995247011316,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:01:11.61,ai,発砲したままで結構ですので　出欠をとります,You may keep your weapons raised; I'll take attendance.,Pueden mantener las armas cargadas; tomaré la asistencia.,0.0,0.0,0.0,0.0,1,1,4.5,4.0,0.5265846252441406,0.6507265567779541,-0.5488446950912476,-0.5302965044975281,0.33604401765739544,0.39969594154788435,0.36150478721359103,0.34911488966560605,0.5055779052499705,0.41170009589935186,length_ratio_extreme;low_punc_jaccard,length_ratio_extreme;low_punc_jaccard,EN:length_ratio_extreme;EN:low_punc_jaccard;SP:length_ratio_extreme;SP:low_punc_jaccard
0:01:15.23,ai,磯貝君,Isogai.,Isogai-kun.,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0.7433658838272095,0.5099204182624817,-0.4496603012084961,-0.17924416065216064,0.3888930405619374,0.6858684264807899,0.5076831949294784,0.5186874796768192,0.29651813064232563,0.42981974006302176,low_punc_jaccard,low_punc_jaccard,EN:low_punc_jaccard;SP:low_punc_jaccard
0:01:16.68,ai,はい,Yes.,Sí.,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0.9201773405075073,0.9837301969528198,0.517665684223175,0.5430669784545898,0.9043192196105287,0.9192768597260406,0.9103022756567335,0.8675931992929045,1.0,0.9205559195757427,low_punc_jaccard,low_punc_jaccard,EN:low_punc_jaccard;SP:low_punc_jaccard
