metric,group1,group2,n_pairs,test,method,stat,pvalue,normal_shapiro_p,effect_size,signif_fdr_bh,p_fdr_bh
sbert_jap_en,ai,fansub,335,wilcoxon,wilcoxon (r),12607.0,1.6381823904802555e-16,7.867493778786724e-12,0.4783934857744485,True,4.914547171440767e-16
sbert_jap_en,ai,official,335,wilcoxon,wilcoxon (r),15439.0,2.9602034806876835e-11,8.063996005093952e-15,0.3911720635306297,True,4.440305221031525e-11
sbert_jap_en,fansub,official,335,wilcoxon,wilcoxon (r),10197.0,0.0004382744535878,3.568319179084141e-20,0.5526179305511447,True,0.0004382744535878
sbert_jap_sp,ai,fansub,335,wilcoxon,wilcoxon (r),9908.0,1.3727927439742905e-22,5.7033993940910134e-11,0.5615187042193875,True,2.0591891159614357e-22
sbert_jap_sp,ai,official,335,wilcoxon,wilcoxon (r),7489.0,2.286409890412343e-29,7.499010816032927e-08,0.6360203357193162,True,6.85922967123703e-29
sbert_jap_sp,fansub,official,335,wilcoxon,wilcoxon (r),20779.0,0.0030871291263001,2.361091526576043e-12,0.2267079410793611,True,0.0030871291263001
comet_jap_en,ai,fansub,335,wilcoxon,wilcoxon (r),20422.0,1.908265632067452e-05,1.2611828468673314e-10,0.2377030144342493,True,2.862398448101178e-05
comet_jap_en,ai,official,335,wilcoxon,wilcoxon (r),17657.0,1.7628883761608974e-08,3.546032568838382e-09,0.3228609355162263,True,5.2886651284826925e-08
comet_jap_en,fansub,official,335,wilcoxon,wilcoxon (r),16623.0,0.0151672195091093,1.0169379483636845e-20,0.3547066101631574,True,0.0151672195091093
comet_jap_sp,ai,fansub,335,wilcoxon,wilcoxon (r),18831.0,3.315769019050033e-07,0.0006756297273989,0.2867034673967901,True,4.97365352857505e-07
comet_jap_sp,ai,official,335,wilcoxon,wilcoxon (r),15494.0,1.5146096988797683e-11,0.0045208335155692,0.3894781446664312,True,4.543829096639305e-11
comet_jap_sp,fansub,official,335,wilcoxon,wilcoxon (r),25383.0,0.2671874125045456,6.5128845792289945e-06,0.0849115328835482,False,0.2671874125045456
comet_jap_en_norm,ai,fansub,335,wilcoxon,wilcoxon (r),24267.0,0.0290186445246988,1.5942857538167943e-10,0.1192826865643751,True,0.043527966787048206
comet_jap_en_norm,ai,official,335,wilcoxon,wilcoxon (r),27502.0,0.7191129655739518,3.546742231850361e-09,0.0196494588247021,False,0.7191129655739518
comet_jap_en_norm,fansub,official,335,wilcoxon,wilcoxon (r),17148.0,5.782211823332656e-10,1.1965480280582126e-19,0.338537384641263,True,1.7346635469997967e-09
sbert_jap_en_norm,ai,fansub,335,wilcoxon,wilcoxon (r),22744.0,0.0030707707353499,2.449578946313886e-10,0.1661888398402706,True,0.00460615610302485
sbert_jap_en_norm,ai,official,335,wilcoxon,wilcoxon (r),23902.0,0.0211742309631291,9.129170698489734e-12,0.1305241481176922,True,0.0211742309631291
sbert_jap_en_norm,fansub,official,335,wilcoxon,wilcoxon (r),9674.0,3.7201481253135287e-25,5.784356668695203e-19,0.5687255590234318,True,1.1160444375940587e-24
qe_mix_en,ai,fansub,335,wilcoxon,wilcoxon (r),23958.0,0.0184025046782286,1.3290740935611382e-14,0.1287994307286901,True,0.027603757017342898
qe_mix_en,ai,official,335,wilcoxon,wilcoxon (r),25045.0,0.0810422151964221,1.0207460599140717e-12,0.0953214342671678,False,0.0810422151964221
qe_mix_en,fansub,official,335,wilcoxon,wilcoxon (r),12019.0,1.0133900220482228e-19,7.560092664432841e-20,0.4965030183589702,True,3.0401700661446687e-19
comet_jap_sp_norm,ai,fansub,335,wilcoxon,wilcoxon (r),21086.0,6.997224512023496e-05,0.0008493593958684,0.2172527939646533,True,6.997224512023496e-05
comet_jap_sp_norm,ai,official,335,wilcoxon,wilcoxon (r),16259.0,2.1217866414423424e-11,0.0033862950584408,0.3659172731916708,True,3.182679962163514e-11
comet_jap_sp_norm,fansub,official,335,wilcoxon,wilcoxon (r),8965.0,3.1186108540296115e-27,1.2528202941566124e-05,0.5905617131091901,True,9.355832562088835e-27
sbert_jap_sp_norm,ai,fansub,335,wilcoxon,wilcoxon (r),23739.0,0.0165227184860072,3.465938012521221e-08,0.1355443076606803,True,0.024784077729010798
sbert_jap_sp_norm,ai,official,335,wilcoxon,wilcoxon (r),21268.0,0.0001071569109198,2.9756880906285943e-05,0.2116474624503966,True,0.0003214707327594
sbert_jap_sp_norm,fansub,official,335,wilcoxon,wilcoxon (r),26553.0,0.3710002321435213,2.145482876771973e-12,0.0488772588633264,False,0.3710002321435213
qe_mix_sp,ai,fansub,335,wilcoxon,wilcoxon (r),24628.0,0.0477333722697979,3.548996759934219e-09,0.1081644191102725,True,0.0477333722697979
qe_mix_sp,ai,official,335,wilcoxon,wilcoxon (r),16240.0,1.971778180817357e-11,0.0003344949105608,0.3665024451629394,True,2.957667271226035e-11
qe_mix_sp,fansub,official,335,wilcoxon,wilcoxon (r),12197.0,2.5370181438773137e-19,2.5521535698720704e-09,0.491020880943928,True,7.611054431631941e-19
