time_stamp,group,sub_jap,sub_trad_en,sub_trad_sp,sbert_jap_en,sbert_jap_sp,comet_jap_en,comet_jap_sp
00:48.8,fansub,それでは,"Now, then.","Muy bien, entonces...",0.7738966941833496,0.8782625198364258,-0.0788385272026062,0.18869271874427795
00:50.5,fansub,ホームルームを始めます,Let's begin homeroom.,Vamos a empezar.,0.9257076382637024,0.5917356610298157,0.06263376772403717,0.09947359561920166
00:52.7,fansub,日直の人は号令を,"Class monitor, on your command.","Encargado de la clase, a su señal.",0.2207968384027481,0.6186150312423706,-0.7441353797912598,-0.8497682809829712
00:54.9,fansub,き…起立,S-Stand!,¡D-De pie!,0.7081558108329773,0.5741325616836548,-0.5448389649391174,-1.093388557434082
01:00.1,fansub,気を付け,Attention!,¡Atención!,0.6835134029388428,0.8109493255615234,0.060198236256837845,0.202046737074852
01:05.0,fansub,礼,Bow!,¡Saluden!,0.5555450320243835,0.8780123591423035,-0.49664363265037537,-0.3832583427429199
01:09.7,fansub,おはようございます,Good morning.,Buenos días.,0.9813489317893982,0.4819415807723999,0.29765406250953674,0.26929083466529846
01:11.6,fansub,発砲したままで結構ですので　出欠をとります,"I'll be taking attendance, so please, fire all you like.",Disparen todo lo que quieran... Sólo estaré tomando asistencia.,0.4731929302215576,0.5178148746490479,-0.5376901030540466,-0.6675213575363159
01:15.2,fansub,磯貝君,Isogai-kun?,¿Isogai?,0.3851848542690277,0.6566787362098694,-0.4739011824131012,-0.3863074481487274
01:16.7,fansub,はい,Present.,¡Aquí!,0.5556486248970032,0.7900916934013367,-0.3070428967475891,-0.3760995864868164
01:18.0,fansub,すみませんが　銃声の中なので　大きな声で,"My apologies. I'll need you to speak up,  what with all this gunfire.",Disculpa pero vas a tener que hablar más alto con todo este tiroteo.,0.7630748748779297,0.8326613306999207,0.06447513401508331,0.1938365399837494
01:21.4,fansub,はい,Present!,¡Aquí!,0.45310354232788086,0.7900916934013367,-0.48822394013404846,-0.3760995864868164
01:22.3,fansub,岡島君,Okajima-kun?,¿Okajima?,0.6251405477523804,0.5866428017616272,-0.33860576152801514,-0.3859679400920868
01:23.6,fansub,はい,Present!,¡Aquí!,0.45310354232788086,0.7900916934013367,-0.48822394013404846,-0.3760995864868164
01:24.3,fansub,奥田さん,Okuda-san?,¡Okuda!,0.4629349708557129,0.6745045781135559,-0.5404396057128906,-0.19322779774665833
01:25.5,fansub,はい,Present!,¡Aquí!,0.45310354232788086,0.7900916934013367,-0.48822394013404846,-0.3760995864868164
01:26.3,fansub,片岡さん,Kataoka-san?,¿Kataoka?,0.5574085116386414,0.6223973035812378,-0.4470627009868622,-0.4550284445285797
01:27.4,fansub,はい,Present!,¡Aquí!,0.45310354232788086,0.7900916934013367,-0.48822394013404846,-0.3760995864868164
01:28.0,fansub,茅野さん,Kayano-san?,¿Kayano?,0.36986449360847473,0.6716351509094238,-0.5141811966896057,-0.5777075290679932
01:28.9,fansub,はい,Present!,¡Aquí!,0.45310354232788086,0.7900916934013367,-0.48822394013404846,-0.3760995864868164
01:29.5,fansub,神崎さん,Kanzaki-san?,¡Kanzaki!,0.6532493233680725,0.7648826837539673,-0.2109271138906479,-0.03422015905380249
01:30.5,fansub,はい,Present!,¡Aquí!,0.45310354232788086,0.7900916934013367,-0.48822394013404846,-0.3760995864868164
01:33.3,fansub,はい　遅刻なしっと,All right.,Muy bien.,0.5753032565116882,0.6827538013458252,-0.22407059371471405,-0.4065271317958832
01:36.0,fansub,素晴らしい　先生　とてもうれしいです,"Everyone on time, I see. Excellent! That makes me very happy.","¡No hay tardanzas, Excelente! Eso me hace muy feliz.",0.5194498896598816,0.6079084277153015,0.1673373430967331,0.29775241017341614
01:39.4,fansub,速過ぎ,He's way too fast.,Es muy rápido.,0.7664305567741394,0.7455984354019165,-0.17453517019748688,0.054085247218608856
01:40.9,fansub,クラス一斉射撃で駄目なのかよ,So even the whole class  at once can't bring him down?,¿La clase entera le disparó y no funciono?,0.5760270357131958,0.7389812469482422,-0.6059494614601135,-0.6238664984703064
01:43.5,fansub,僕らは,We...,Nosotros,0.9014974236488342,0.9181817770004272,-0.3942144811153412,-0.021054983139038086
01:45.0,fansub,殺し屋,are killers.,somos asesinos.,0.8248454928398132,0.7281240224838257,-0.48643431067466736,-0.12352946400642395
01:46.5,fansub,僕らのターゲットは,And our target...,Y nuestro blanco,0.913442850112915,0.5792238116264343,0.22014495730400085,-0.004836078733205795
01:49.1,fansub,先生,is our teacher.,es nuestro maestro.,0.45772451162338257,0.5073880553245544,-0.5345638394355774,-0.29659634828567505
01:50.1,fansub,残念ですねぇ,Too bad.,Lástima.,0.7737926244735718,0.8849707245826721,0.1570831686258316,0.2641994059085846
01:51.6,fansub,今日も命中弾ゼロです,"Not one of your bullets hit me today, either."," Ni una sola bala le atino a su objetivo hoy, igual que antes.",0.5954908728599548,0.6905832886695862,-0.197511687874794,-0.34186816215515137
01:54.0,fansub,数に頼る戦術は　個々の思考を疎かにする,Tactics that rely on sheer numbers neglect individual focus.,Métodos que se basan en solo números carecen de cualquier pensamiento individual.,0.7798707485198975,0.5353091955184937,0.4254070222377777,0.03713993728160858
01:57.6,fansub,目線　銃口の向き　指の動き,"Be it line of sight, barrel position,  or finger movement,","Linea de visión, posición del cartucho, movimiento de los dedos...",0.7455331087112427,0.7949874401092529,0.04003702476620674,0.21872176229953766
02:01.4,fansub,一人一人が単純過ぎます,each of you was far too easy to read.,Cada uno de ellos es demasiado simple.,0.4754267632961273,0.9075090885162354,-0.591498076915741,0.21488013863563538
02:04.0,fansub,もっと工夫しましょう,You need to be more inventive!,¡Tienen que ser mas originales!,0.584689736366272,0.4452786147594452,0.4258664846420288,0.3720815181732178
02:05.9,fansub,でないと,"Otherwise,",De lo contrario...,0.670146644115448,0.6375507116317749,-0.6682881712913513,-0.6659517884254456
02:07.4,fansub,最高速度マッハ20の先生は　殺せませんよ,"you'll never be able to kill me.  I can speed up to Mach 20, you know?",No seran capaces de matarme a mi máxima velocidad de Mach 20.,0.5665683150291443,0.526486873626709,-0.3108457028865814,-0.1868399828672409
