time_stamp,time_stamp,sbert_jap_en__ai,sbert_jap_en__fansub,sbert_jap_en__official,sbert_jap_sp__ai,sbert_jap_sp__fansub,sbert_jap_sp__official,comet_jap_en__ai,comet_jap_en__fansub,comet_jap_en__official,comet_jap_sp__ai,comet_jap_sp__fansub,comet_jap_sp__official,sub_jap__ai,sub_jap__fansub,sub_jap__official,sub_jap__ai,sub_jap__fansub,sub_jap__official,sub_jap__ai,sub_jap__fansub,sub_jap__official,sub_jap__ai,sub_jap__fansub,sub_jap__official
0,00:48.8,0.8913604021072388,0.7738968729972839,0.7421566843986511,0.907798171043396,0.8782626390457153,0.7755374908447266,0.0664395242929458,-0.078838050365448,-0.0696607828140258,-0.1396816968917846,0.1886918693780899,-0.031928714364767,それでは,それでは,それでは,それでは,それでは,それでは,それでは,それでは,それでは,それでは,それでは,それでは
1,00:50.5,0.9257075190544128,0.9257075190544128,0.5539675951004028,0.5300703048706055,0.5917078256607056,0.4866988956928253,0.0626327991485595,0.0626327991485595,-0.0233065448701381,-0.086269274353981,0.0994733124971389,0.0686573982238769,ホームルームを始めます,ホームルームを始めます,ホームルームを始めます,ホームルームを始めます,ホームルームを始めます,ホームルームを始めます,ホームルームを始めます,ホームルームを始めます,ホームルームを始めます,ホームルームを始めます,ホームルームを始めます,ホームルームを始めます
2,00:52.7,0.2238071262836456,0.2207968533039093,0.4994016885757446,0.6099977493286133,0.618968665599823,0.5307581424713135,-0.5759016275405884,-0.7441355586051941,-0.7604429721832275,-0.2583689093589782,-0.8497681021690369,-0.864732563495636,日直の人は号令を,日直の人は号令を,日直の人は号令を,日直の人は号令を,日直の人は号令を,日直の人は号令を,日直の人は号令を,日直の人は号令を,日直の人は号令を,日直の人は号令を,日直の人は号令を,日直の人は号令を
3,00:54.9,0.5819592475891113,0.7081558704376221,0.8060203790664673,0.8845287561416626,0.5741325616836548,0.7792813777923584,-0.9239704012870787,-0.5448397397994995,-0.2533109486103058,0.1433054208755493,-1.0933880805969238,-0.9665896892547609,き…起立,き…起立,き…起立,き…起立,き…起立,き…起立,き…起立,き…起立,き…起立,き…起立,き…起立,き…起立
4,01:00.1,0.7549595832824707,0.6835134029388428,0.6835134029388428,0.8109493255615234,0.8109493255615234,0.901506781578064,0.1404774636030197,0.0601981841027736,0.0601981841027736,0.20204658806324,0.2020467072725296,0.2087952047586441,気を付け,気を付け,気を付け,気を付け,気を付け,気を付け,気を付け,気を付け,気を付け,気を付け,気を付け,気を付け
5,01:05.0,0.5262377858161926,0.5555449724197388,0.5555450320243835,0.877743124961853,0.8780123591423035,0.7690893411636353,-0.3859200179576874,-0.4966436922550201,-0.4966436922550201,-0.3938423097133636,-0.3832584917545318,-0.2855705320835113,礼,礼,礼,礼,礼,礼,礼,礼,礼,礼,礼,礼
6,01:09.7,0.9813265800476074,0.9813265800476074,0.981326460838318,0.4819416105747223,0.4819416105747223,0.905894696712494,0.2976537644863128,0.2976537644863128,0.2976537644863128,0.2692902982234955,0.2692902982234955,0.3769934773445129,おはようございます,おはようございます,おはようございます,おはようございます,おはようございます,おはようございます,おはようございます,おはようございます,おはようございます,おはようございます,おはようございます,おはようございます
7,01:11.6,0.5265847444534302,0.47319296002388,0.494623601436615,0.6507267355918884,0.5178149342536926,0.714388370513916,-0.5488451719284058,-0.5376898050308228,-0.5574007630348206,-0.5302972197532654,-0.6675190925598145,-0.7608820796012878,発砲したままで結構ですので　出欠をとります,発砲したままで結構ですので　出欠をとります,発砲したままで結構ですので　出欠をとります,発砲したままで結構ですので　出欠をとります,発砲したままで結構ですので　出欠をとります,発砲したままで結構ですので　出欠をとります,発砲したままで結構ですので　出欠をとります,発砲したままで結構ですので　出欠をとります,発砲したままで結構ですので　出欠をとります,発砲したままで結構ですので　出欠をとります,発砲したままで結構ですので　出欠をとります,発砲したままで結構ですので　出欠をとります
8,01:15.2,0.7433658838272095,0.3851848244667053,0.4886087477207184,0.5099204182624817,0.6566786766052246,0.411402553319931,-0.4496602714061737,-0.4739008247852325,-0.5482216477394104,-0.179245039820671,-0.3863074779510498,-0.3613274991512298,磯貝君,磯貝君,磯貝君,磯貝君,磯貝君,磯貝君,磯貝君,磯貝君,磯貝君,磯貝君,磯貝君,磯貝君
9,01:16.7,0.920177400112152,0.5556487441062927,0.6556112766265869,0.9837301969528198,0.7900916337966919,0.6868909597396851,0.5176655054092407,-0.3070428967475891,-0.4169120192527771,0.5430670976638794,-0.3760998547077179,-0.2599498331546783,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい
10,01:18.0,0.8281478881835938,0.7630771398544312,0.7740845680236816,0.8503115773200989,0.8326612114906311,0.7177878022193909,0.431281179189682,0.0644750744104385,-0.0952000319957733,-0.2311504781246185,0.1938365399837494,0.0504448153078556,すみませんが　銃声の中なので　大きな声で,すみませんが　銃声の中なので　大きな声で,すみませんが　銃声の中なので　大きな声で,すみませんが　銃声の中なので　大きな声で,すみませんが　銃声の中なので　大きな声で,すみませんが　銃声の中なので　大きな声で,すみませんが　銃声の中なので　大きな声で,すみませんが　銃声の中なので　大きな声で,すみませんが　銃声の中なので　大きな声で,すみませんが　銃声の中なので　大きな声で,すみませんが　銃声の中なので　大きな声で,すみませんが　銃声の中なので　大きな声で
11,01:21.4,0.920177400112152,0.4531035125255584,0.6556112766265869,0.9837301969528198,0.7900916337966919,0.6868909597396851,0.5176655054092407,-0.4882237017154693,-0.4169120192527771,0.5430670976638794,-0.3760998547077179,-0.2599498331546783,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい
12,01:22.3,0.7239060401916504,0.6251728534698486,0.620229184627533,0.7222786545753479,0.5866427421569824,0.6365818977355957,-0.1334727257490158,-0.3386047780513763,-0.3544633686542511,0.020988505333662,-0.3859671056270599,-0.2854920625686645,岡島君,岡島君,岡島君,岡島君,岡島君,岡島君,岡島君,岡島君,岡島君,岡島君,岡島君,岡島君
13,01:23.6,0.920177400112152,0.4531035125255584,0.6556112766265869,0.9837301969528198,0.7900916337966919,0.6868909597396851,0.5176655650138855,-0.4882238209247589,-0.4169122278690338,0.5430671572685242,-0.376099944114685,-0.2599502503871918,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい
14,01:24.3,0.546360969543457,0.4629349410533905,0.5393139123916626,0.5688773393630981,0.6745045781135559,0.5952267050743103,-0.1733647584915161,-0.540440559387207,-0.2604912519454956,0.0976329892873764,-0.1932280957698822,-0.3950054943561554,奥田さん,奥田さん,奥田さん,奥田さん,奥田さん,奥田さん,奥田さん,奥田さん,奥田さん,奥田さん,奥田さん,奥田さん
15,01:25.5,0.920177400112152,0.4531035125255584,0.6556112766265869,0.9837301969528198,0.7900916337966919,0.6868909597396851,0.5176655650138855,-0.4882237017154693,-0.4169120192527771,0.5430671572685242,-0.3760998547077179,-0.2599501311779022,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい
16,01:26.3,0.7144824266433716,0.5574039816856384,0.6136754751205444,0.6406020522117615,0.6223973035812378,0.6618625521659851,-0.3116441965103149,-0.4470634758472442,-0.5127750039100647,0.0637154579162597,-0.4550293087959289,-0.4854010045528412,片岡さん,片岡さん,片岡さん,片岡さん,片岡さん,片岡さん,片岡さん,片岡さん,片岡さん,片岡さん,片岡さん,片岡さん
17,01:27.4,0.920177400112152,0.4531035125255584,0.6556112766265869,0.9837301969528198,0.7900916337966919,0.7537775039672852,0.5176655054092407,-0.4882237613201141,-0.4169120192527771,0.5430670976638794,-0.3760998547077179,0.0850058495998382,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい
18,01:28.0,0.6263061165809631,0.3703028559684753,0.4788899719715118,0.4530165195465088,0.671635091304779,0.4852474927902221,-0.6424282193183899,-0.5141821503639221,-0.4913346469402313,-0.0292283408343791,-0.5777102112770081,-0.3895032107830047,茅野さん,茅野さん,茅野さん,茅野さん,茅野さん,茅野さん,茅野さん,茅野さん,茅野さん,茅野さん,茅野さん,茅野さん
19,01:28.9,0.920177400112152,0.4531035125255584,0.6556112766265869,0.9837301969528198,0.7900916337966919,0.6868909597396851,0.5176655650138855,-0.4882236421108246,-0.4169120192527771,0.5430671572685242,-0.3760998547077179,-0.2599498033523559,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい
20,01:29.5,0.7208826541900635,0.6534175276756287,0.7223232388496399,0.6973143815994263,0.7648826837539673,0.6962364912033081,-0.1147214472293853,-0.2109272480010986,0.0409285686910152,0.2498556673526764,-0.0342038758099079,-0.0059125088155269,神崎さん,神崎さん,神崎さん,神崎さん,神崎さん,神崎さん,神崎さん,神崎さん,神崎さん,神崎さん,神崎さん,神崎さん
21,01:30.5,0.920177400112152,0.4531035125255584,0.6556112766265869,0.9837301969528198,0.7900916337966919,0.6868909597396851,0.5176655054092407,-0.4882237613201141,-0.4169120192527771,0.5430670976638794,-0.3760998547077179,-0.2599501013755798,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい
