group,metric,n,mean,sd,median
ai,sbert_jap_en,0,,,
ai.1,sbert_jap_en,0,,,
ai.2,sbert_jap_en,0,,,
ai.3,sbert_jap_en,0,,,
fansub,sbert_jap_en,0,,,
fansub.1,sbert_jap_en,0,,,
fansub.2,sbert_jap_en,0,,,
fansub.3,sbert_jap_en,0,,,
official,sbert_jap_en,0,,,
official.1,sbert_jap_en,0,,,
official.2,sbert_jap_en,0,,,
official.3,sbert_jap_en,0,,,
ai,sbert_jap_sp,0,,,
ai.1,sbert_jap_sp,0,,,
ai.2,sbert_jap_sp,0,,,
ai.3,sbert_jap_sp,0,,,
fansub,sbert_jap_sp,0,,,
fansub.1,sbert_jap_sp,0,,,
fansub.2,sbert_jap_sp,0,,,
fansub.3,sbert_jap_sp,0,,,
official,sbert_jap_sp,0,,,
official.1,sbert_jap_sp,0,,,
official.2,sbert_jap_sp,0,,,
official.3,sbert_jap_sp,0,,,
ai,comet_jap_en,0,,,
ai.1,comet_jap_en,0,,,
ai.2,comet_jap_en,0,,,
ai.3,comet_jap_en,0,,,
fansub,comet_jap_en,0,,,
fansub.1,comet_jap_en,0,,,
fansub.2,comet_jap_en,0,,,
fansub.3,comet_jap_en,0,,,
official,comet_jap_en,0,,,
official.1,comet_jap_en,0,,,
official.2,comet_jap_en,0,,,
official.3,comet_jap_en,0,,,
ai,comet_jap_sp,0,,,
ai.1,comet_jap_sp,0,,,
ai.2,comet_jap_sp,0,,,
ai.3,comet_jap_sp,0,,,
fansub,comet_jap_sp,0,,,
fansub.1,comet_jap_sp,0,,,
fansub.2,comet_jap_sp,0,,,
fansub.3,comet_jap_sp,0,,,
official,comet_jap_sp,0,,,
official.1,comet_jap_sp,0,,,
official.2,comet_jap_sp,0,,,
official.3,comet_jap_sp,0,,,
